Title,Period,Date,Culture,Medium,Dimensions,Classification,Credit Line,Accession Number
Pendants,Archaic,7th–6th century B.C.,Italic or Etruscan,Amber,NULL-DIMENSIONS,Miscellaneous-Amber,Purchase Renée E. and Robert A. Belfer Patti Cadby Birch and The Joseph Rosen Foundation Inc. Gifts and Harris Brisbane Dick Fund 1992,1992.11.45a–w
Pendants,Archaic,7th–6th century B.C.,Italic or Etruscan,Amber,Other (2.5cm to 4.1cm): 1 in. (2.5 cm),Miscellaneous-Amber,Purchase Renée E. and Robert A. Belfer Patti Cadby Birch and The Joseph Rosen Foundation Inc. Gifts and Harris Brisbane Dick Fund 1992,1992.11.46a–m
Pendants,Archaic,7th–5th century B.C.,Italic,Amber,H.: 1 15/16 x 1 in. (5 x 2.5 cm)average,Miscellaneous-Amber,Purchase Renée E. and Robert A. Belfer Patti Cadby Birch and The Joseph Rosen Foundation Inc. Gifts and Harris Brisbane Dick Fund 1992,1992.11.47a–h
Spacer beads from an apron-like garment,NULL-PERIOD,7th century B.C.,Italic,Amber,H.: 13/16 x 1 1/16 in. (2 x 2.7 cm)average,Miscellaneous-Faience,Purchase Renée E. and Robert A. Belfer Patti Cadby Birch and The Joseph Rosen Foundation Inc. Gifts and Harris Brisbane Dick Fund 1992,1992.11.48
Pierced disk,Archaic,7th–6th century B.C.,Italic,Amber,Diam.: 13 9/16 in. (34.5 cm),Miscellaneous-Amber,Purchase Renée E. and Robert A. Belfer Patti Cadby Birch and The Joseph Rosen Foundation Inc. Gifts and Harris Brisbane Dick Fund 1992,1992.11.49
Pendant: female head,Classical,5th century B.C.,Italic,Amber,H.: 1 5/8 in. (4.2 cm),Miscellaneous-Amber,Purchase Renée E. and Robert A. Belfer Patti Cadby Birch and The Joseph Rosen Foundation Inc. Gifts and Harris Brisbane Dick Fund 1992,1992.11.5
Modern reconstruction of ancient beads and monkey pendant,Archaic,primarily 7th century B.C.,Etruscan,Amber, Overall length of necklace 49 1/2  monkey pendant; H 1 1/4 x D. 7/8 x W. 3/8,Miscellaneous-Amber,Purchase Renée E. and Robert A. Belfer Patti Cadby Birch and The Joseph Rosen Foundation Inc. Gifts and Harris Brisbane Dick Fund 1992,1992.11.50
Modern reconstruction of ancient beads,Archaic,primarily 7th century B.C.,Etruscan,Amber,Other: 8 11/16 in. (22 cm),Miscellaneous-Amber,Purchase Renée E. and Robert A. Belfer Patti Cadby Birch and The Joseph Rosen Foundation Inc. Gifts and Harris Brisbane Dick Fund 1992,1992.11.51
Modern reconstruction of ancient beads,Archaic,primarily 7th century B.C.,Etruscan,Amber,Other: 7 1/16 in. (18 cm),Miscellaneous-Amber,Purchase Renée E. and Robert A. Belfer Patti Cadby Birch and The Joseph Rosen Foundation Inc. Gifts and Harris Brisbane Dick Fund 1992,1992.11.52
Necklace,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Amber,Length (average loscenge length ): 9/16 in. (1.5 cm),Miscellaneous-Amber,Purchase Renée E. and Robert A. Belfer Patti Cadby Birch and The Joseph Rosen Foundation Inc. Gifts and Harris Brisbane Dick Fund 1992,1992.11.53
Modern reconstruction of ancient pendants and beads,Archaic–Classical,7th–5th century B.C.,Italic or Etruscan,Amber,NULL-DIMENSIONS,Miscellaneous-Amber,Purchase Renée E. and Robert A. Belfer Patti Cadby Birch and The Joseph Rosen Foundation Inc. Gifts and Harris Brisbane Dick Fund 1992,1992.11.54
Modern reconstruction of ancient pendant and beads,Archaic,7th–6th century B.C.,Italic,Amber,Other (Central Pendant): 5/8 x 5/16 x 1 3/16 in. (1.6 x 0.7 x 3 cm),Miscellaneous-Amber,Purchase Renée E. and Robert A. Belfer Patti Cadby Birch and The Joseph Rosen Foundation Inc. Gifts and Harris Brisbane Dick Fund 1992,1992.11.55
Necklace,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Amber (75 elements,Cover diameter (long oval bead): 3/4 in. (1.9 cm),Miscellaneous-Amber,Purchase Renée E. and Robert A. Belfer Patti Cadby Birch and The Joseph Rosen Foundation Inc. Gifts and Harris Brisbane Dick Fund 1992,1992.11.56
Modern reconstruction of ancient beads,Archaic,7th–6th century B.C.,Italic,Amber,Other: 11 x 3/8 in. (27.9 x 0.9 cm),Miscellaneous-Amber,Purchase Renée E. and Robert A. Belfer Patti Cadby Birch and The Joseph Rosen Foundation Inc. Gifts and Harris Brisbane Dick Fund 1992,1992.11.57
Marble grave relief with a funerary banquet and departing warriors,Hellenistic,2nd century B.C.,Greek,Marble,H. 43 1/4 in. (109.9 cm),Stone Sculpture,The Bothmer Purchase Fund 1992,1992.11.58
Faience aryballos (perfume vase) in the form of four heads,Archaic,late 6th century B.C.,East Greek,Faience,H. 2 1/8 in. (5.4 cm),Miscellaneous-Faience,The Bothmer Purchase Fund 1992,1992.11.59
Pendant: female head,Classical,5th century B.C.,Italic,Amber,H.: 1 15/16 in. (4.9 cm),Miscellaneous-Amber,Purchase Renée E. and Robert A. Belfer Patti Cadby Birch and The Joseph Rosen Foundation Inc. Gifts and Harris Brisbane Dick Fund 1992,1992.11.6
Marble head of a kouros (youth),Archaic,ca. 525–475 B.C.,Greek,Marble,H. 5 13/16 in. (14.7 cm),Stone Sculpture,The Bothmer Purchase Fund 1992,1992.11.60
Marble herm head of a bearded deity,Classical,ca. 450 B.C.,Greek Attic,Marble,H. 6 7/16 in. (16.4 cm),Stone Sculpture,Purchase Lila Acheson Wallace Gift 1992,1992.11.61
Four silver-gilt attachments,Hellenistic,4th–3rd century B.C.,Greek South Italian,Silver Gold,H. 1 9/16 in. (4 cm),Gold and Silver,Purchase Judy and Michael Steinhardt Gift 1992,1992.11.62–.65
Marble head of a deity wearing a Dionysiac fillet,Early Imperial Julio-Claudian,ca. A.D.14–68,Roman,Marble,H. 11 15/16 in. (30.4 cm),Stone Sculpture,Purchase Anonymous Gift in memory of Professor Charles M. Edwards 1992,1992.11.66
Bronze bowl,Classical,5th–4th century B.C.,Greek,Bronze,diameter    12.5 cm.,Bronzes,Purchase Lewis B. and Dorothy Cullman Foundation Inc. Gift 1992,1992.11.67
Bronze beaker,Classical,5th–4th century B.C.,Greek,Bronze,diameter     15.5 cm.,Bronzes,Purchase Lewis B. and Dorothy Cullman Foundation Inc. Gift 1992,1992.11.68
Bronze crab,Hellenistic,3rd–1st century B.C.,Greek,Bronze,Overall: 2 1/4 x 6 1/2 x 5 1/2in. (5.7 x 16.5 x 14cm),Bronzes,Purchase Mr. and Mrs. John Moscahlaidis Gift 1992,1992.11.69
Pendant: female head,Classical,5th century B.C.,Italic,Amber,H.: 1 5/8 in. (4.2 cm),Miscellaneous-Amber,Purchase Renée E. and Robert A. Belfer Patti Cadby Birch and The Joseph Rosen Foundation Inc. Gifts and Harris Brisbane Dick Fund 1992,1992.11.7
Porphyry support for a water basin,Mid-Imperial,2nd century A.D.,Roman,Porphyry,Weight approx. 900 lbs,Stone Sculpture,Harris Brisbane Dick Fund 1992,1992.11.70
Marble statue of Pan,Imperial,1st century A.D.,Roman,Marble,H. 26 5/8 in. (67.6 cm),Stone Sculpture,The Bothmer Purchase Fund 1992,1992.11.71
Pendant: female head,Classical,5th century B.C.,Italic,Amber,H.: 1 9/16 in. (3.9 cm),Miscellaneous-Amber,Purchase Renée E. and Robert A. Belfer Patti Cadby Birch and The Joseph Rosen Foundation Inc. Gifts and Harris Brisbane Dick Fund 1992,1992.11.8
Pendant: siren,Classical,early 5th century B.C.,Italic,Amber,H.: 2 5/16 in. (5.9 cm),Miscellaneous-Amber,Purchase Renée E. and Robert A. Belfer Patti Cadby Birch and The Joseph Rosen Foundation Inc. Gifts and Harris Brisbane Dick Fund 1992,1992.11.9
Bronze helmet of Illyrian type,Classical,early 5th century B.C.,Greek,Bronze,H. 8 11/16 in. (22 cm),Bronzes,Gift of Estée Lauder Inc. 1992,1992.180.1
Bronze helmet of Corinthian type,Archaic,late 6th century B.C.,Greek,Bronze,H. 9 1/16 in. (23 cm),Bronzes,Gift of Estée Lauder Inc. 1992,1992.180.2
Bronze cuirass (body armor),Classical,4th century B.C.,Greek Apulian,Bronze,H. (back): 20 1/16 in. (51 cm),Bronzes,Gift of Estée Lauder Inc. 1992,1992.180.3
Bronze thymiaterion (incense burner),Late Archaic,late 6th–early 5th century B.C.,Etruscan,Bronze,H. 10 5/8 in. (27 cm),Bronzes,Gift from the family of Howard J. Barnet in his memory 1992,1992.262
Gold earring with head of an antelope,Hellenistic,3rd–2nd century B.C.,Greek,Gold,Other: 1/2 in. (1.2 cm),Gold and Silver,Gift of Leon Farber 1992,1992.263.1
Ring with intaglio of a bird,NULL-PERIOD,1st century B.C.–1st century A.D.,Roman,Gold garnet,Other: 9/16 × 5/8 × 1/4 in. (1.4 × 1.6 × 0.6 cm),Gold and Silver,Gift of Leon Farber 1992,1992.263.10
Gold earring with head of an antelope,Hellenistic,3rd–2nd century B.C.,Greek,Gold,Overall: 1 in. (2.5 cm),Gold and Silver,Gift of Leon Farber 1992,1992.263.2
Earring with disk and pendant globules,NULL-PERIOD,2nd century A.D.,Roman,Gold,Other (.b): 13/16 × 3/8 × 9/16 in. (2 × 0.9 × 1.4 cm),Gold and Silver,Gift of Leon Farber 1992,1992.263.3a b
Earrings,NULL-PERIOD,2nd–3rd century A.D.,Roman,Gold,Diameter (.b): 13/16 × 1/8 in. (2 × 0.3 cm),Gold and Silver,Gift of Leon Farber 1992,1992.263.4a b
Earrings,NULL-PERIOD,2nd–3rd century A.D.,Roman,Gold,Diameter (.b): 9/16 × 1/8 in. (1.4 × 0.4 cm),Gold and Silver,Gift of Leon Farber 1992,1992.263.5a b
Earrings,Early Byzantine,6th century A.D.,Roman,Gold,Other (.b): 15/16 × 1/8 × 1 3/8 in. (2.4 × 0.3 × 3.4 cm),Gold and Silver,Gift of Leon Farber 1992,1992.263.6
Ring with intaglio of female figure,NULL-PERIOD,1st century A.D.,Roman,Gold,Other: 11/16 × 13/16 × 1/2 in. (1.7 × 2.1 × 1.2 cm),Gold and Silver,Gift of Leon Farber 1992,1992.263.7
Ring with intaglio of a bird,NULL-PERIOD,1st century A.D.,Roman,Gold gem,Other: 9/16 × 11/16 × 7/16 in. (1.5 × 1.8 × 1.1 cm),Gold and Silver,Gift of Leon Farber 1992,1992.263.8
Ring with intaglio of schematic figure,NULL-PERIOD,1st century A.D.,Roman,Gold gem,Other: 3/4 × 1/2 × 5/16 in. (1.9 × 1.3 × 0.8 cm),Gold and Silver,Gift of Leon Farber 1992,1992.263.9
Pair of silver bracelets ending in snake's heads,Classical,late 6th–5th century B.C.,Greek,Silver,diameter  4in. (10.2cm),Gold and Silver,Gift of Jonathan P. Rosen 1992,1992.266.1 .2
Pair of gold rattles,Archaic,6th century B.C.,East Greek,Gold,Diam.: 1 3/8 in. (3.5 cm),Gold and Silver,Gift of Mr. and Mrs. Jonathan P. Rosen 1992,1992.266.11 .12
Rattle in the form of a vessel,Archaic,6th century B.C.,Greek,Gold,Diameter: 3/4 × 5/8 × 1 in. (1.9 × 1.6 × 2.5 cm),Gold and Silver,Gift of Mr. and Mrs. Jonathan P. Rosen 1992,1992.266.13
Rattle in the form of a poppy pod,Archaic,6th century B.C.,Greek,Gold,Diameter: 7/8 × 4 1/2 in. (2.2 × 11.4 cm),Gold and Silver,Gift of Mr. and Mrs. Jonathan P. Rosen 1992,1992.266.14
Gold bracelet with finials in the form of feline heads,Archaic,late 7th century B.C.,East Greek,Gold,Diam.: 4 in. (10.2 cm),Gold and Silver,Gift of Mr. and Mrs. Jonathan P. Rosen 1992,1992.266.15
Rattle in the form of a heart,Archaic,6th century B.C.,Greek,Gold foil,Other: 1 5/8 × 1 3/8 × 1 1/8 in. (4.1 × 3.4 × 2.8 cm),Gold and Silver,Gift of Mr. and Mrs. Jonathan P. Rosen 1992,1992.266.16
Rattle in the form of an alabastron,Archaic,6th century B.C.,Greek,Gold foil,Height: 2 7/16 in. (6.3 cm),Gold and Silver,Gift of Mr. and Mrs. Jonathan P. Rosen 1992,1992.266.17
Pendant,Archaic,late 6th–5th century B.C.,Greek,Gold,Height: 11/16 in. (1.8 cm),Gold and Silver,Gift of Mr. and Mrs. Jonathan P. Rosen 1992,1992.266.18
Rock-crystal ovoid vessel with wide mouth,Late Classical or Early Hellenistic,4th–3rd century B.C.,Greek Eastern Mediterranean,Rock crystal,H. 2 1/4 in. (5.7 cm); diameter 1 5/8 in. (4.2 cm),Miscellaneous-Stone Vases,Gift of Mr. and Mrs. Jonathan P. Rosen 1992,1992.266.19
Stands spool-shaped pair,Archaic,late 6th–5th century B.C.,Greek or Etruscan,Gold foil,Diameter (.21): 1 5/16 × 2 × 1 3/8 in. (3.4 × 5.1 × 3.4 cm),Gold and Silver,Gift of Mr. and Mrs. Jonathan P. Rosen 1992,1992.266.20 .21
Electrum double spool,Archaic,6th century B.C.,East Greek,Electrum,H.: 1 1/16 in. (2.7 cm),Gold and Silver,Gift of Mr. and Mrs. Jonathan P. Rosen 1992,1992.266.22
Earring or hair coil,Classical,5th century B.C.,Greek Spain ?,Gold copper alloy,Diameter: 1 1/16 × 1/2 in. (2.6 × 1.3 cm),Gold and Silver,Gift of Mr. and Mrs. Jonathan P. Rosen 1992,1992.266.23
Gold bobbin with a rosette,Archaic,6th century B.C.,Greek East Greek,Gold,H. 5/16 in. (0.8 cm),Gold and Silver,Gift of Mr. and Mrs. Jonathan P. Rosen 1992,1992.266.24
Beads 23,Archaic or Classical,6th–5th century B.C.,Greek or Etruscan,Gold foil,Diameter (smallest bead): 3/16 in. (0.5 cm),Gold and Silver,Gift of Mr. and Mrs. Jonathan P. Rosen 1992,1992.266.25a–y
Group of eight glass astragali (knucklebones),Hellenistic,3rd–2nd century B.C.,Greek,Glass; cast in a two-part mold,H.: 9/16 in. (1.5 cm),Glass,Gift of Mr. and Mrs. Jonathan P. Rosen 1992,1992.266.3–.10
Fragments amber 800,NULL-PERIOD,7th–5th century B.C.,Italic,Amber,NULL-DIMENSIONS,Miscellaneous-Amber,Gift of Mr. and Mrs. Jonathan P. Rosen 1992,1992.267.1
Pendant: head of a woman,Classical,5th century B.C.,Italic,Amber,Other: 1 7/16 x 5/8 x 1 9/16 in. (3.7 x 1.5 x 4 cm),Miscellaneous-Amber,Gift of Mr. and Mrs. Jonathan P. Rosen 1992,1992.267.10
Pendant: head of a woman,Classical,5th century B.C.,Italic,Amber,NULL-DIMENSIONS,Miscellaneous-Amber,Gift of Mr. and Mrs. Jonathan P. Rosen 1992,1992.267.11
Pendant: head of a woman,Classical,5th century B.C.,Italic,Amber,1 1/2 × 2 3/16 × 7/8 in. (3.8 × 5.6 × 2.2 cm),Miscellaneous-Amber,Gift of Mr. and Mrs. Jonathan P. Rosen 1992,1992.267.12
Pendant: head of a satyr,Classical,5th century B.C.,Italic,Amber,NULL-DIMENSIONS,Miscellaneous-Amber,Gift of Mr. and Mrs. Jonathan P. Rosen 1992,1992.267.13
Pendant: Ajax carrying the body of Achilles,Archaic,6th–5th century B.C.,Etruscan,Amber,Other: 4 x 2 9/16 x 1 1/8 in. (10.1 x 6.5 x 2.9 cm),Miscellaneous-Amber,Gift of Mr. and Mrs. Jonathan P. Rosen 1992,1992.267.2
Pendant:woman's head,Classical,5th century B.C.,Italic,Amber,Other: 1 9/16 x 5/8 x 1 1/4 in. (4 x 1.5 x 3.1 cm),Miscellaneous-Amber,Gift of Mr. and Mrs. Jonathan P. Rosen 1992,1992.267.3
Pendant: satyr's head,Classical,5th century B.C.,Italic,Amber,NULL-DIMENSIONS,Miscellaneous-Amber,Gift of Mr. and Mrs. Jonathan P. Rosen 1992,1992.267.4
Pendant: Head of Acheloos?,Classical,5th century B.C.,Italic,Amber,1 11/16 × 2 15/16 × 7/8 in. (4.3 × 7.5 × 2.2 cm),Miscellaneous-Amber,Gift of Mr. and Mrs. Jonathan P. Rosen 1992,1992.267.5
Draped youth,Classical,5th century B.C.,Etruscan,Amber,Other: 3 9/16 x 1 7/16 x 1/4 in. (9 x 3.7 x 0.6 cm),Miscellaneous-Amber,Gift of Mr. and Mrs. Jonathan P. Rosen 1992,1992.267.6
Two figures dancing?,Classical,5th century B.C.,Etruscan,Amber,Diameter: 3 1/16 x 2 1/8 x 7/8 in. (7.7 x 5.5 x 2.2 cm),Miscellaneous-Amber,Gift of Mr. and Mrs. Jonathan P. Rosen 1992,1992.267.7
Pendant: head of a woman,Classical,5th century B.C.,South Italian,Amber,Other: 1 5/8 x 1 3/8 x 5/8 in. (4.1 x 3.5 x 1.6 cm),Miscellaneous-Amber,Gift of Mr. and Mrs. Jonathan P. Rosen 1992,1992.267.8
Pendant: head of a woman,Classical,5th century B.C.,Italic,Amber,Other: 2 1/16 x 7/16 x 7/8 in. (5.3 x 1.1 x 2.2 cm),Miscellaneous-Amber,Gift of Mr. and Mrs. Jonathan P. Rosen 1992,1992.267.9
Terracotta antefix with lion's head,Late Archaic,late 6th century B.C.,East Greek,Terracotta,H. 6 5/16 in. (16 cm),Terracottas,Gift of a friend of the Museum 1992,1992.36.1
Terracotta antefix with lion's head,Late Archaic,late 6th century B.C.,East Greek,Terracotta,H. 6 5/16 in. (16 cm),Terracottas,Gift of a friend of the Museum 1992,1992.36.2
Terracotta antefix with lion's head,Late Archaic,late 6th century B.C.,East Greek,Terracotta,H. 6 1/2 in. (16.5 cm),Terracottas,Gift of a friend of the Museum 1992,1992.36.3
Silver gilt spirals and bead,Archaic,2nd half of the 6th century B.C.,Greek,Gold silver,Other (average length): 1 1/16 in. (2.7 cm),Gold and Silver,Anonymous Gift 1992,1992.367.1–.6a b
Glass bowl fragment with cut decoration,Late Imperial,ca. A.D. 330–380,Roman,Glass; blown and cut,3/4 × 1 9/16 × 1/16 in. (1.9 × 4 × 0.2 cm),Glass,Gift of Joseph K. Schwarzer II Higgins Armory Museum 1992,1992.61
Marble sarcophagus lid with reclining couple,Imperial Severan,ca. A.D. 220,Roman,Marble,length  91in. (231.1cm),Stone Sculpture,Purchase Lila Acheson Wallace Gift 1993,1993.11.1
Marble lunette with Nereid riding Triton,Mid-Imperial Trajanic,1st quarter of 2nd century A.D.,Roman,Marble,Overall: 46 1/2 x 69in. (118.1 x 175.3cm),Stone Sculpture,The Bothmer Purchase Fund 1993,1993.11.2
Terracotta pomegranate,Late Classical,4th century B.C.,Greek South Italian,Terracotta,Overall: 2 3/4 x 2 7/8in. (7 x 7.3cm),Terracottas,Purchase Helen H. Mertens and Renée E. and Robert A. Belfer Gifts 1993,1993.11.3
Terracotta aryballos (perfume vase) in the form of a boy,Archaic,ca. 540–530 B.C.,East Greek,Terracotta,H. 7 1/16 in. (18 cm),Vases,Purchase Vaughn Foundation Fund Gift 1993,1993.11.4
Terracotta kylix (drinking cup),Archaic,ca. 500 B.C.,Greek Attic,Terracotta; red-figure,diameter  12 7/8in. (32.7cm),Vases,Purchase Amalia Lacroze de Fortabat Gift and The Bothmer Purchase Fund 1993,1993.11.5
Vertical handle of a bronze hydria (water jar),Classical,mid-5th century B.C.,Greek,Bronze,width from gorgon to gorgon  7 7/16 in. (18.9 cm),Bronzes,Gift of Christos G. Bastis 1993,1993.133
Terracotta kantharos (drinking cup with two high handles),NULL-PERIOD,ca. 450–400 B.C.,Greek Boeotian,Terracotta; black-glaze,Overall: 11 1/8 x 10 15/16in. (28.3 x 27.7cm),Vases,Gift of Ali Aboutaam 1993,1993.197
Statuette of a fat boy (dwarf ?),Archaic,ca. 540–530 B.C.,Greek,Terracotta,H. 2 7/8 in. (7.37 cm),Terracottas,Gift of Mr. and Mrs. Jonathan P. Rosen 1993,1993.206
Fragment of a terracotta bearded head,Archaic,late 7th or early 6th century B.C.,East Greek,Terracotta,Overall: 4 7/16 x 2 15/16 x 3 15/16in. (11.3 x 7.5 x 10cm),Terracottas,Gift of Torkom Demirjian 1993,1993.272.1
Fragment of a terracotta rhyton (pouring vessel) in the form of a woman,Archaic,late 7th–early 6th century B.C.,Anatolian,Terracotta,Diam.: 3 11/16 in. (9.4 cm),Terracottas,Gift of Torkom Demirjian 1993,1993.272.2
Gold stater of Ptolemy I,Early Hellenistic,ca. 305–284 B.C.,Greek Ptolemaic,Gold,diameter  3/4in. (1.9cm),Coins,Bequest of Marilyn Lovell Miller 1993,1993.29
Bracelet,Archaic,6th century B.C.,Greek,Gold Silver,diameter (restored)  3in. (7.6cm),Gold and Silver,Anonymous Gift 1993,1993.314
Marble head of a bearded man,Imperial,2nd century A.D.,Roman,Marble,H. 12 3/16 in. (31 cm),Stone Sculpture,Marguerite and Frank A. Cosgrove Jr. Fund 1993,1993.342
Silver-gilt cup (one of a pair),Late Classical or Hellenistic,4th–3rd century B.C.,Greek South Italian,Silver gold,H. 2 1/2 in. (6.3 cm); diameter 6 1/8 in. (15.5 cm); length including handles  9 5/8 in. (24.5 cm),Gold and Silver,Purchase Patti Cadby Birch Gift 1993,1993.367.1
Silver-gilt cup (one of a pair),Late Classical or Hellenistic,4th–3rd century B.C.,Greek South Italian,Silver gold,H. 2 3/8 in. (6 cm); diameter  5 15/16 in. (15 cm); length including handles 10 1/16 in. (25.5 cm),Gold and Silver,Purchase Patti Cadby Birch Gift 1993,1993.367.2
Plaque sima,Classical,5th century B.C.,Etruscan,Terracotta,4 5/16 in.  (11 cm),Terracottas,Gift of Dr. Herbert Cahn 1993,1993.443a b
Kylix fragment tondo,Archaic,ca. 510–500 B.C.,Greek Attic,Terracotta; red-figure,H. 1 5/8 in. (4.1 cm),Vases,Gift of Robert E. Hecht 1993,1993.444
Silver alabastron (perfume vase),Classical,5th–4th century B.C.,Greek,Silver,diameter of lid  1 1/8 in. (2.8 cm),Gold and Silver,The Bothmer Purchase Fund 1994,1994.113
Fragment of a terracotta kylix joins 1979.11.8,Late Archaic,ca. 490 B.C.,Greek Attic,Terracotta,NULL-DIMENSIONS,Vases,Gift of Dietrich von Bothmer 1994,1994.172
Cup fragment,Archaic,ca. 540 B.C.,Greek Attic,Terracotta; black-figure,NULL-DIMENSIONS,Vases,The Bothmer Purchase Fund 1994,1994.173
Gold ring with intaglio of seated woman and flying Eros,Classical,2nd half of the 5th century B.C.,Greek,Gold,Overall: 7 1/16 x 7/16in. (18 x 1.1cm),Gold and Silver,Purchase The Bothmer Purchase Fund and Lila Acheson Wallace Gift 1994,1994.230.1
Jasper intaglio in a gold mount set with pearls and glass,Mid-Imperial Antonine or Severan,2nd–3rd century A.D.,Roman,Gold jasper pearl glass,H. 3.00 cm.,Gold and Silver,Purchase The Bothmer Purchase Fund and Lila Acheson Wallace Gift 1994,1994.230.2
Gold finger ring engraved with an image of Hermes,Late Classical,late 4th century B.C.,Greek South Italian Tarentine,Gold,Overall: 13/16 x 7/16in. (2 x 1.1cm),Gold and Silver,Purchase The Bothmer Purchase Fund and Lila Acheson Wallace Gift 1994,1994.230.3
Gold garnet and agate necklace,Late Hellenistic,1st century B.C.,Greek,Gold garnet agate,length  15in. (38.1cm),Gold and Silver,Purchase The Bothmer Purchase Fund and Lila Acheson Wallace Gift 1994,1994.230.4
Gold garnet and agate earring,Late Hellenistic,1st century B.C.,Greek,Gold garnet agate,length  3 1/8in. (7.9cm),Gold and Silver,Purchase The Bothmer Purchase Fund and Lila Acheson Wallace Gift 1994,1994.230.5
Gold garnet and agate earring,NULL-PERIOD,1st century B.C.,Greek,Gold garnet agate,length  3 5/16in. (8.4cm),Gold and Silver,Purchase The Bothmer Purchase Fund and Lila Acheson Wallace Gift 1994,1994.230.6
Gold ring with carnelian intaglio portrait of the Emperor Tiberius,Early Imperial Tiberian,ca. A.D. 14–37,Roman,Gold carnelian,Overall: 13/16 in. (2.1 cm),Gold and Silver,Purchase The Bothmer Purchase Fund and Lila Acheson Wallace Gift 1994,1994.230.7
Pair of gold garnet enamel and glass earrings,Hellenistic,2nd century B.C.,Greek Ptolemaic,Gold garnet enamel glass,Overall: 1 15/16 x 1 9/16in. (5 x 4cm),Gold and Silver,Purchase The Bothmer Purchase Fund and Lila Acheson Wallace Gift 1994,1994.230.8 .9
Marble table leg (trapezophoros) with reliefs of griffins,Classical,5th century B.C.,Greek,Marble,Overall: 25 x 18 1/2 in. 4.8 cm (63.5 x 47 x 4.8 cm),Stone Sculpture,Gift of Jean-Luc and Veronique Chalmin 1994,1994.311
Gold and enamel a baule earring,Archaic,6th century B.C.,Etruscan,Gold enamel,diameter  13/16in. (2cm),Gold and Silver,Purchase Jacob Bleibtreau Foundation Inc. Gift 1994,1994.374
Pair of silver scyphi (cups) with relief decoration,Early Imperial Augustan,late 1st century B.C.–early 1st century A.D.,Roman,Silver with gilding,diameter of bowl  5in. (12.7cm),Gold and Silver,Purchase Marguerite and Frank A. Cosgrove Jr. Fund and Lila Acheson Wallace Gift 1994,1994.43.1 .2
Pair of gold spirals,Archaic,7th–6th century B.C.,Etruscan,Gold,Other: 1 3/8in. (3.5cm),Gold and Silver,Purchase Anne Murray Gift in memory of Rita C. Murray 1994,1994.446a b
Terracotta statuette of a hen with chicks,Late Archaic or Early Classical,early 5th century B.C.,Greek Boeotian,Terracotta,length  4 1/2 in. (11.4 cm),Terracottas,Gift of Brian T. Aitken 1994,1994.481
Pair of silver attachments in the form of seashells,Hellenistic,late 4th–3rd century B.C.,Greek,Silver,width  1 3/4in. (4.4cm),Gold and Silver,Purchase Gifts in memory of Howard J. Barnet and gifts from various donors 1994,1994.5.1 .2
Gilded silver phiale (libation bowl),Archaic,6th century B.C.,Greek,Gilded silver,diameter  8in. (20.3cm),Gold and Silver,Purchase Mr. and Mrs. Alexander Abraham Molly and Walter Bareiss Christos and Jo Bastis Lawrence and Barbara Fleischman Mrs. Dolly Goulandris Roy and Marie Neuberger Jonathan and Jeannette Rosen Tom and Colette Spears Shelby White and Leon Levy Ward and Priscilla Woods Nicholas S. Zoullas and Anonymous Gifts and Classical Purchase Fund in honor of Dietrich von Bothmer 1994,1994.57
Marble lid of a spool pyxis,Early Cycladic II,ca. 2700–2200 B.C.,Cycladic,Marble,diameter  6 1/4in. (15.9cm),Miscellaneous-Stone Vases,Gift of Peter Sharrer 1994,1994.586
Terracotta beak-spouted jug,Middle Helladic III,ca. 1750–1700 B.C.,Helladic,Terracotta,H. 7 5/16 in. (18.5 cm),Vases,Gift of Peter Sharrer 1994,1994.587
Two terracotta busts,Late Classical,4th century B.C.,Greek Sicilian,Terracotta,Overall (1994.600.2): 18 9/16 x 15 x 6 in. (47.2 x 38.1 x 15.2 cm),Terracottas,Gift of Bronson Pinchot in honor of June DeLong 1994,1994.600.1 .2
Wall painting,Late Classical,mid-4th century B.C.,Greek South Italian Lucanian,Fresco,Overall: 53 3/8 x 38 1/2in. (135.6 x 97.8cm),Miscellaneous-Paintings,Gift of Robin F. Beningson 1994,1994.62
Marble shell,Classical,ca. 400 B.C.,Greek,Marble,Overall: 9 1/2 x 6 in. (24.1 x 15.2 cm),Miscellaneous-Stone,Purchase Mr. and Mrs. John Moscahlaidis Gift 1995,1995.19
Kylix fragment with a seated dog,Classical,ca. 480 B.C.,Greek Attic,Terracotta; red-figure,H. 4.95 cm.,Vases,Gift of Dietrich von Bothmer 1995,1995.29
Capital fragment from a funerary shrine (naiskos),Late Classical or Hellenistic,4th–3rd century B.C.,Greek South Italian Tarentine,Limestone, H. 4 3/4 (12.09 cm),Stone Sculpture,Gift of the Aboutaam Family 1995,1995.291
Bronze statuette of a woman,Archaic,mid-6th century B.C.,East Greek,Bronze,H.: 3 in. (7.6 cm),Bronzes,Gift of Naji Asfar and Gawain McKinley 1995,1995.351
Fragments of a terracotta kylix (drinking cup) bilingual,Archaic,ca. 520 B.C.,Greek Attic,Terracotta,NULL-DIMENSIONS,Vases,Gift of Shelby White and Leon Levy 1995,1995.352a–e
